Angle	Intensity
25.008	1.28E-02
25.025	-6.54E-03
25.042	-6.17E-03
25.059	1.61E-02
25.076	-3.24E-03
25.093	1.03E-02
25.11	4.81E-03
25.127	1.03E-02
25.144	4.81E-03
25.161	2.20E-02
25.178	-2.37E-02
25.195	-6.53E-03
25.212	-1.28E-02
25.229	2.56E-02
25.246	2.31E-02
25.263	2.71E-02
25.28	-1.28E-02
25.297	-6.56E-03
25.314	-1.08E-03
25.331	8.05E-03
25.348	-3.29E-03
25.365	-4.40E-03
25.382	1.64E-02
25.399	1.90E-02
25.416	1.50E-02
25.433	1.31E-02
25.45	8.35E-03
25.467	5.77E-03
25.484	4.66E-03
25.501	-3.76E-03
25.518	-4.15E-03
25.535	-7.46E-03
25.552	-2.32E-02
25.569	-2.94E-02
25.586	-5.68E-03
25.603	-2.20E-04
25.62	-5.00E-03
25.637	6.32E-03
25.654	1.54E-03
25.671	1.07E-02
25.688	4.42E-03
25.705	-1.94E-02
25.722	7.06E-04
25.739	-1.15E-03
25.756	-1.40E-02
25.773	-7.06E-03
25.79	-1.92E-02
25.807	-1.52E-02
25.824	-2.41E-03
25.841	1.40E-02
25.858	-1.64E-02
25.875	-1.39E-02
25.892	1.13E-02
25.909	1.02E-02
25.926	2.83E-04
25.943	3.79E-02
25.96	-1.27E-03
25.977	-9.47E-04
25.994	1.33E-02
26.011	-1.20E-02
26.028	-1.46E-03
26.045	1.57E-02
26.062	-3.96E-02
26.079	3.24E-02
26.096	-6.80E-03
26.113	-1.97E-02
26.13	-3.32E-04
26.147	1.75E-02
26.164	-2.09E-02
26.181	-2.58E-02
26.198	-7.90E-03
26.215	-1.64E-02
26.232	-1.54E-02
26.249	2.22E-02
26.266	1.74E-02
26.283	1.48E-02
26.3	1.65E-02
26.317	1.02E-02
26.334	-2.46E-02
26.351	4.95E-03
26.368	4.33E-02
26.385	2.74E-02
26.402	4.31E-03
26.419	-9.31E-03
26.436	-4.65E-03
26.453	-1.75E-02
26.47	-2.39E-02
26.487	-1.04E-02
26.504	5.19E-03
26.521	1.86E-02
26.538	5.70E-03
26.555	3.76E-03
26.572	2.89E-02
26.589	1.38E-02
26.606	1.58E-03
26.623	1.82E-03
26.64	2.03E-02
26.657	3.03E-03
26.674	2.53E-03
26.691	-2.72E-02
26.708	-1.09E-02
26.725	3.17E-02
26.742	-9.49E-04
26.759	9.51E-03
26.776	-6.37E-03
26.793	-2.50E-03
26.81	-8.25E-04
26.827	7.43E-03
26.844	-1.07E-02
26.861	-1.26E-02
26.878	1.39E-02
26.895	3.97E-02
26.912	2.74E-02
26.929	1.88E-02
26.946	3.24E-06
26.963	-8.59E-03
26.98	-1.72E-02
26.997	7.85E-03
27.014	3.80E-02
27.031	1.92E-02
27.048	1.05E-02
27.065	-3.32E-02
27.082	-3.03E-03
27.099	2.49E-02
27.116	8.24E-03
27.133	4.00E-03
27.15	3.12E-02
27.167	2.48E-02
27.184	2.49E-02
27.201	3.31E-02
27.218	-4.07E-03
27.235	-2.00E-02
27.252	-1.19E-02
27.269	-1.03E-02
27.286	-6.23E-04
27.303	4.62E-03
27.32	1.43E-02
27.337	-3.18E-03
27.354	-5.25E-03
27.371	1.90E-02
27.388	1.56E-03
27.405	-3.44E-03
27.422	1.20E-02
27.439	8.49E-03
27.456	4.95E-03
27.473	-3.72E-03
27.49	-3.61E-03
27.507	-5.71E-04
27.524	-7.04E-03
27.541	1.57E-02
27.558	7.08E-03
27.575	-4.52E-03
27.592	1.53E-02
27.609	-2.83E-03
27.626	7.52E-03
27.643	-1.88E-03
27.66	1.07E-02
27.677	2.69E-02
27.694	-1.53E-03
27.711	8.09E-03
27.728	2.87E-02
27.745	9.05E-03
27.762	2.01E-02
27.779	-7.53E-03
27.796	1.36E-03
27.813	2.93E-02
27.83	4.53E-03
27.847	1.27E-02
27.864	6.25E-03
27.881	1.37E-02
27.898	4.16E-02
27.915	2.05E-02
27.932	3.83E-03
27.949	1.86E-02
27.966	1.73E-02
27.983	-2.35E-03
28	2.85E-02
28.017	3.30E-02
28.034	2.22E-02
28.051	5.31E-02
28.068	3.57E-02
28.085	3.65E-02
28.102	2.50E-02
28.119	6.83E-02
28.136	5.89E-02
28.153	4.37E-02
28.17	8.34E-02
28.187	6.82E-02
28.204	5.00E-02
28.221	6.11E-02
28.238	7.67E-02
28.255	7.76E-02
28.272	7.48E-02
28.289	9.54E-02
28.306	1.10E-01
